"","X","Ensayo","Estimulo","Respuesta","Correcto","Aciertos","Errores","Hits","ContadorH","Rechazos","ContadorR","Falsas.alarmas","ContadorF","Omisiones","ContadorM","Confidence","RTime1","RTime1b","RTime2","facilidad","num_circulos_externos","tam_circulos_externos","tamano_central","senal","color","tipo","choice","Exito","outcome","HR6","FR6","HR5","FR5","HR4","FR4","HR3","FR3","HR2","FR2","HR1","FR1"
"118",118,117,324,"n","False",90,28,"False",45,"False",45,"False",15,"True",13,2,5.143443823,3.642387867,0.200698853,"muchos",7,"over","2_o2","senal","azul","3 BS",0,0,2,"0","0","0","0","0","0","0","0","1","0","1","0"
"119",119,118,603,"n","True",91,28,"False",45,"True",46,"False",15,"False",13,1,1.735105991,0.234212875,0.20062089,"muchos",7,"over","1","ruido","azul","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"120",120,119,196,"s","False",91,29,"False",45,"False",46,"True",16,"False",13,4,1.63569212,0.134774923,1.204408884,"pocos",3,"under","3","ruido","verde","1 AN",1,0,1,"0","0","0","0","0","1","0","1","0","1","0","1"
"121",121,120,133,"s","True",92,29,"True",46,"False",46,"False",16,"False",13,4,3.139007092,1.638720989,0.300727129,"pocos",3,"under","2_u3","senal","azul","4 AS",1,1,4,"0","0","0","0","1","0","1","0","1","0","1","0"
"122",122,121,90,"s","True",93,29,"True",47,"False",46,"False",16,"False",13,5,3.339082003,1.838232994,0.301048994,"pocos",2,"under","2_u2","senal","guinda","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"123",123,122,206,"n","True",94,29,"False",47,"True",47,"False",16,"False",13,3,2.737671852,1.237216949,0.300956964,"pocos",2,"over","2.5","ruido","verde","1 AN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"124",124,123,362,"s","True",95,29,"True",48,"False",47,"False",16,"False",13,5,2.035904169,0.534846067,0.50139904,"muchos",8,"over","2_o3","senal","naranja","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"125",125,124,602,"n","True",96,29,"False",48,"True",48,"False",16,"False",13,3,1.935625076,0.434611082,1.002722979,"muchos",7,"over","1","ruido","naranja","2 BN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"126",126,125,426,"s","True",97,29,"True",49,"False",48,"False",16,"False",13,5,2.136061907,0.635197878,0.501299143,"muchos",7,"under","2_u2","senal","verde","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"127",127,126,244,"n","True",98,29,"False",49,"True",49,"False",16,"False",13,3,2.236594915,0.735780001,0.300906897,"pocos",2,"over","1.5","ruido","azul","1 AN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"128",128,127,277,"n","True",99,29,"False",49,"True",50,"False",16,"False",13,3,2.136067867,0.635185957,0.6016469,"pocos",3,"under","1.5","ruido","purpura","1 AN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"129",129,128,509,"s","False",99,30,"False",49,"False",50,"True",17,"False",13,6,1.735174179,0.234364986,0.701761007,"muchos",7,"under","3","ruido","guinda","2 BN",1,0,1,"0","1","0","1","0","1","0","1","0","1","0","1"
"130",130,129,53,"s","True",100,30,"True",50,"False",50,"False",17,"False",13,6,2.436718941,0.936120987,0.300783157,"pocos",3,"over","2_o3","senal","azul","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"131",131,130,57,"s","True",101,30,"True",51,"False",50,"False",17,"False",13,5,1.735141039,0.234374046,0.802331924,"pocos",3,"over","2_o3","senal","purpura","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"132",132,131,176,"n","True",102,30,"False",51,"True",51,"False",17,"False",13,2,1.635426044,0.134878874,0.401293039,"pocos",3,"over","3","ruido","verde","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"133",133,132,363,"s","True",103,30,"True",52,"False",51,"False",17,"False",13,5,1.935637951,0.434767008,0.50132513,"muchos",8,"over","2_o3","senal","azul","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"134",134,133,542,"s","False",103,31,"False",52,"False",51,"True",18,"False",13,6,1.634105921,0.132984161,0.501446009,"muchos",7,"under","2.5","ruido","naranja","2 BN",1,0,1,"0","1","0","1","0","1","0","1","0","1","0","1"
"135",135,134,355,"s","True",104,31,"True",53,"False",51,"False",18,"False",13,5,2.035821915,0.535061836,0.401062012,"muchos",7,"over","2_o2","senal","verde","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"136",136,135,48,"s","True",105,31,"True",54,"False",51,"False",18,"False",13,5,1.635462046,0.134647846,0.501253128,"pocos",3,"over","2_o3","senal","purpura","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"137",137,136,336,"s","True",106,31,"True",55,"False",51,"False",18,"False",13,6,1.634927988,0.134338856,0.201620102,"muchos",7,"over","2_o2","senal","verde","3 BS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"138",138,137,228,"n","True",107,31,"False",55,"True",52,"False",18,"False",13,3,2.436965942,0.936083078,0.401096106,"pocos",2,"under","2.5","ruido","purpura","1 AN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"139",139,138,217,"n","True",108,31,"False",55,"True",53,"False",18,"False",13,3,1.634955883,0.134021997,0.300899982,"pocos",3,"over","2.5","ruido","purpura","1 AN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"140",140,139,142,"s","True",109,31,"True",56,"False",53,"False",18,"False",13,6,1.733656883,0.232588053,0.300934076,"pocos",3,"under","2_u3","senal","naranja","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"141",141,140,265,"n","True",110,31,"False",56,"True",54,"False",18,"False",13,2,2.43660903,0.935571909,0.401062965,"pocos",2,"under","1.5","ruido","verde","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"142",142,141,486,"n","True",111,31,"False",56,"True",55,"False",18,"False",13,2,2.236495018,0.735541105,1.002459049,"muchos",7,"over","3","ruido","verde","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"143",143,142,83,"s","True",112,31,"True",57,"False",55,"False",18,"False",13,4,2.938364029,1.437212944,0.601490021,"pocos",2,"under","2_u2","senal","azul","4 AS",1,1,4,"0","0","0","0","1","0","1","0","1","0","1","0"
"144",144,143,65,"s","True",113,31,"True",58,"False",55,"False",18,"False",13,5,1.935599089,0.434492111,0.300977945,"pocos",3,"over","2_o3","senal","verde","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"145",145,144,326,"s","True",114,31,"True",59,"False",55,"False",18,"False",13,6,3.239119053,1.738264799,0.300783157,"muchos",7,"over","2_o2","senal","verde","3 BS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"146",146,145,80,"s","True",115,31,"True",60,"False",55,"False",18,"False",13,4,2.637425184,1.136671066,0.40120697,"pocos",3,"over","2_o3","senal","guinda","4 AS",1,1,4,"0","0","0","0","1","0","1","0","1","0","1","0"
"147",147,146,163,"n","True",116,31,"False",60,"True",56,"False",18,"False",13,1,2.135828018,0.634828091,0.200627089,"pocos",2,"over","3","ruido","azul","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"148",148,147,297,"n","True",117,31,"False",60,"True",57,"False",18,"False",13,1,2.938000917,1.43750906,0.200999975,"pocos",3,"over","1","ruido","purpura","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"149",149,148,353,"s","True",118,31,"True",61,"False",57,"False",18,"False",13,5,3.138792992,1.638044119,0.200656891,"muchos",7,"over","2_o2","senal","azul","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"150",150,149,275,"n","True",119,31,"False",61,"True",58,"False",18,"False",13,3,3.13854003,1.638262033,0.200494051,"pocos",3,"under","1.5","ruido","verde","1 AN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"151",151,150,124,"s","True",120,31,"True",62,"False",58,"False",18,"False",13,5,2.035981894,0.535121918,0.300786018,"pocos",3,"under","2_u3","senal","azul","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"152",152,151,157,"s","True",121,31,"True",63,"False",58,"False",18,"False",13,5,2.23660183,0.735805035,0.300854206,"pocos",3,"under","2_u3","senal","purpura","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"153",153,152,577,"n","True",122,31,"False",63,"True",59,"False",18,"False",13,3,1.635374069,0.134464979,0.10029006,"muchos",8,"over","1.5","ruido","purpura","2 BN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"154",154,153,321,"s","True",123,31,"True",64,"False",59,"False",18,"False",13,5,1.635245085,0.13414216,1.002330065,"muchos",7,"over","2_o2","senal","naranja","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"155",155,154,116,"n","False",123,32,"False",64,"False",59,"False",18,"True",14,3,2.53725791,1.036255836,0.300879955,"pocos",2,"under","2_u2","senal","verde","4 AS",0,0,2,"0","0","0","0","0","0","1","0","1","0","1","0"
"156",156,155,495,"n","True",124,32,"False",64,"True",60,"False",18,"False",14,3,2.035690069,0.534898043,0.300896883,"muchos",8,"over","3","ruido","verde","2 BN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"157",157,156,318,"n","True",125,32,"False",64,"True",61,"False",18,"False",14,1,2.334998846,0.834173203,0.501307964,"pocos",3,"under","1","ruido","purpura","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"158",158,157,489,"n","True",126,32,"False",64,"True",62,"False",18,"False",14,2,2.036081076,0.535192013,0.3012321,"muchos",7,"over","3","ruido","guinda","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"159",159,158,146,"s","True",127,32,"True",65,"False",62,"False",18,"False",14,5,2.336704969,0.835517168,0.50134182,"pocos",3,"under","2_u3","senal","verde","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"160",160,159,85,"s","True",128,32,"True",66,"False",62,"False",18,"False",14,5,2.136588097,0.635665178,0.401607037,"pocos",2,"under","2_u2","senal","verde","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"161",161,160,288,"n","True",129,32,"False",66,"True",63,"False",18,"False",14,2,2.336602926,0.835639,0.200557947,"pocos",2,"over","1","ruido","purpura","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"162",162,161,599,"n","True",130,32,"False",66,"True",64,"False",18,"False",14,1,3.138569117,1.637447119,0.201191902,"muchos",8,"under","1.5","ruido","guinda","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"163",163,162,413,"s","True",131,32,"True",67,"False",64,"False",18,"False",14,4,2.737317801,1.236227036,0.200483084,"muchos",7,"under","2_u2","senal","azul","3 BS",1,1,4,"0","0","0","0","1","0","1","0","1","0","1","0"
"164",164,163,78,"s","True",132,32,"True",68,"False",64,"False",18,"False",14,6,2.036054134,0.535445929,0.300668955,"pocos",3,"over","2_o3","senal","purpura","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"165",165,164,553,"s","False",132,33,"False",68,"False",64,"True",19,"False",14,5,1.735100985,0.234254122,0.401597977,"muchos",8,"under","2.5","ruido","azul","2 BN",1,0,1,"0","0","0","1","0","1","0","1","0","1","0","1"
"166",166,165,519,"n","True",133,33,"False",68,"True",65,"False",19,"False",14,3,1.935925007,0.435023069,0.300838947,"muchos",8,"under","3","ruido","guinda","2 BN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"167",167,166,466,"s","True",134,33,"True",69,"False",65,"False",19,"False",14,6,1.735514164,0.234633923,0.300744772,"muchos",8,"under","2_u3","senal","verde","3 BS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"168",168,167,517,"s","False",134,34,"False",69,"False",65,"True",20,"False",14,6,1.635257006,0.134224892,0.401223898,"muchos",8,"under","3","ruido","purpura","2 BN",1,0,1,"0","1","0","1","0","1","0","1","0","1","0","1"
"169",169,168,578,"n","True",135,34,"False",69,"True",66,"False",20,"False",14,3,2.938275814,1.437142849,0.100840092,"muchos",8,"over","1.5","ruido","purpura","2 BN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"170",170,169,394,"s","True",136,34,"True",70,"False",66,"False",20,"False",14,5,2.43692708,0.935976028,0.301476955,"muchos",8,"over","2_o3","senal","azul","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"171",171,170,534,"s","False",136,35,"False",70,"False",66,"True",21,"False",14,6,1.63541913,0.134516001,0.300729036,"muchos",8,"over","2.5","ruido","azul","2 BN",1,0,1,"0","1","0","1","0","1","0","1","0","1","0","1"
"172",172,171,639,"n","True",137,35,"False",70,"True",67,"False",21,"False",14,1,2.236450911,0.735456944,0.902434111,"muchos",8,"under","1","ruido","guinda","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"173",173,172,94,"s","True",138,35,"True",71,"False",67,"False",21,"False",14,5,1.835473061,0.335016012,0.20054698,"pocos",2,"under","2_u2","senal","azul","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"174",174,173,600,"n","True",139,35,"False",71,"True",68,"False",21,"False",14,3,2.136351109,0.635593891,0.200452805,"muchos",8,"under","1.5","ruido","guinda","2 BN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"175",175,174,147,"s","True",140,35,"True",72,"False",68,"False",21,"False",14,5,1.935979843,0.434886217,0.200551033,"pocos",3,"under","2_u3","senal","purpura","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"176",176,175,12,"s","True",141,35,"True",73,"False",68,"False",21,"False",14,6,1.635273218,0.134196997,0.200620174,"pocos",2,"over","2_o2","senal","naranja","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"177",177,176,529,"n","True",142,35,"False",73,"True",69,"False",21,"False",14,3,1.935586929,0.434754848,0.200649977,"muchos",7,"over","2.5","ruido","guinda","2 BN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"178",178,177,401,"s","True",143,35,"True",74,"False",69,"False",21,"False",14,5,2.438333035,0.937343121,0.200506926,"muchos",7,"under","2_u2","senal","naranja","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"179",179,178,95,"s","True",144,35,"True",75,"False",69,"False",21,"False",14,4,2.136458874,0.635622025,0.101682901,"pocos",2,"under","2_u2","senal","verde","4 AS",1,1,4,"0","0","0","0","1","0","1","0","1","0","1","0"
"180",180,179,403,"s","True",145,35,"True",76,"False",69,"False",21,"False",14,6,1.735430002,0.234475851,0.301270008,"muchos",7,"under","2_u2","senal","azul","3 BS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"181",181,180,555,"s","False",145,36,"False",76,"False",69,"True",22,"False",14,6,1.735153914,0.234237909,0.300741911,"muchos",8,"under","2.5","ruido","verde","2 BN",1,0,1,"0","1","0","1","0","1","0","1","0","1","0","1"
"182",182,181,52,"s","True",146,36,"True",77,"False",69,"False",22,"False",14,6,2.236778021,0.73584795,0.300874949,"pocos",3,"over","2_o3","senal","naranja","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"183",183,182,498,"n","True",147,36,"False",77,"True",70,"False",22,"False",14,2,2.337085009,0.836217165,0.101658821,"muchos",8,"over","3","ruido","purpura","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"184",184,183,397,"n","False",147,37,"False",77,"False",70,"False",22,"True",15,3,2.737789154,1.237580061,0.200571775,"muchos",8,"over","2_o3","senal","purpura","3 BS",0,0,2,"0","0","0","0","0","0","1","0","1","0","1","0"
"185",185,184,427,"n","False",147,38,"False",77,"False",70,"False",22,"True",16,3,2.035714865,0.534823895,0.40092206,"muchos",7,"under","2_u2","senal","purpura","3 BS",0,0,2,"0","0","0","0","0","0","1","0","1","0","1","0"
"186",186,185,333,"s","True",148,38,"True",78,"False",70,"False",22,"False",16,5,2.337116003,0.836384058,0.300707817,"muchos",7,"over","2_o2","senal","azul","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"187",187,186,43,"s","True",149,38,"True",79,"False",70,"False",22,"False",16,5,1.936120033,0.435189009,0.100286007,"pocos",3,"over","2_o3","senal","azul","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"188",188,187,44,"s","True",150,38,"True",80,"False",70,"False",22,"False",16,6,1.835777998,0.334692955,0.300786018,"pocos",3,"over","2_o3","senal","azul","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"189",189,188,238,"n","True",151,38,"False",80,"True",71,"False",22,"False",16,3,2.236541986,0.735496044,0.201081038,"pocos",3,"under","2.5","ruido","purpura","1 AN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"190",190,189,477,"n","False",151,39,"False",80,"False",71,"False",22,"True",17,2,1.635262012,0.134465933,0.100335836,"muchos",8,"under","2_u3","senal","purpura","3 BS",0,0,2,"0","0","0","0","0","0","0","0","1","0","1","0"
"191",191,190,138,"n","False",151,40,"False",80,"False",71,"False",22,"True",18,1,1.634890795,0.134062052,2.205084801,"pocos",3,"under","2_u3","senal","purpura","4 AS",0,0,2,"0","0","0","0","0","0","0","0","0","0","1","0"
"192",192,191,379,"s","True",152,40,"True",81,"False",71,"False",22,"False",18,6,2.637229919,1.136503935,0.300841093,"muchos",8,"over","2_o3","senal","guinda","3 BS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"193",193,192,287,"n","True",153,40,"False",81,"True",72,"False",22,"False",18,1,1.835537195,0.334532976,0.300922155,"pocos",2,"over","1","ruido","purpura","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"194",194,193,49,"s","True",154,40,"True",82,"False",72,"False",22,"False",18,5,2.938126087,1.437253952,0.300971031,"pocos",3,"over","2_o3","senal","guinda","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"195",195,194,136,"s","True",155,40,"True",83,"False",72,"False",22,"False",18,4,1.734817982,0.234246969,0.300935984,"pocos",3,"under","2_u3","senal","verde","4 AS",1,1,4,"0","0","0","0","1","0","1","0","1","0","1","0"
"196",196,195,119,"s","True",156,40,"True",84,"False",72,"False",22,"False",18,5,1.63657093,0.135659933,1.403247118,"pocos",2,"under","2_u2","senal","guinda","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"197",197,196,272,"n","True",157,40,"False",84,"True",73,"False",22,"False",18,2,2.837722063,1.336826086,0.200539112,"pocos",3,"under","1.5","ruido","naranja","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"198",198,197,621,"n","True",158,40,"False",84,"True",74,"False",22,"False",18,1,1.936133862,0.435436964,0.300877094,"muchos",7,"under","1","ruido","naranja","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"199",199,198,50,"s","True",159,40,"True",85,"False",74,"False",22,"False",18,5,1.635200024,0.134229183,0.100322962,"pocos",3,"over","2_o3","senal","guinda","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"200",200,199,13,"s","True",160,40,"True",86,"False",74,"False",22,"False",18,6,1.634952068,0.133822918,1.202933073,"pocos",2,"over","2_o2","senal","azul","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"201",201,200,404,"n","False",160,41,"False",86,"False",74,"False",22,"True",19,1,2.637365103,1.136543989,0.200993061,"muchos",7,"under","2_u2","senal","azul","3 BS",0,0,2,"0","0","0","0","0","0","0","0","0","0","1","0"
"202",202,201,125,"s","True",161,41,"True",87,"False",74,"False",22,"False",19,6,1.635443926,0.134573936,2.405744076,"pocos",3,"under","2_u3","senal","verde","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"203",203,202,115,"s","True",162,41,"True",88,"False",74,"False",22,"False",19,6,1.636389971,0.135870934,0.501420021,"pocos",2,"under","2_u2","senal","verde","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"204",204,203,302,"n","True",163,41,"False",88,"True",75,"False",22,"False",19,1,2.336503029,0.835564137,0.401118994,"pocos",2,"under","1","ruido","naranja","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"205",205,204,198,"n","True",164,41,"False",88,"True",76,"False",22,"False",19,2,4.442482948,2.941642046,0.401026964,"pocos",3,"under","3","ruido","purpura","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"206",206,205,347,"s","True",165,41,"True",89,"False",76,"False",22,"False",19,5,1.935585976,0.434772015,0.20053792,"muchos",7,"over","2_o2","senal","purpura","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"207",207,206,292,"n","True",166,41,"False",89,"True",77,"False",22,"False",19,1,1.635215044,0.134319067,1.403663158,"pocos",3,"over","1","ruido","naranja","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"208",208,207,348,"s","True",167,41,"True",90,"False",77,"False",22,"False",19,5,2.236963987,0.736148119,0.102092028,"muchos",7,"over","2_o2","senal","purpura","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"209",209,208,226,"s","False",167,42,"False",90,"False",77,"True",23,"False",19,5,1.634825945,0.133713007,0.701825857,"pocos",2,"under","2.5","ruido","verde","1 AN",1,0,1,"0","0","0","1","0","1","0","1","0","1","0","1"
"210",210,209,255,"n","True",168,42,"False",90,"True",78,"False",23,"False",19,3,1.935421944,0.434546947,0.101780891,"pocos",3,"over","1.5","ruido","verde","1 AN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"211",211,210,256,"n","True",169,42,"False",90,"True",79,"False",23,"False",19,3,2.036072969,0.535118103,0.200766087,"pocos",3,"over","1.5","ruido","verde","1 AN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"212",212,211,291,"n","True",170,42,"False",90,"True",80,"False",23,"False",19,1,2.036385059,0.53542304,0.301455021,"pocos",3,"over","1","ruido","naranja","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"213",213,212,626,"n","True",171,42,"False",90,"True",81,"False",23,"False",19,1,1.635694981,0.135437012,0.10036993,"muchos",7,"under","1","ruido","verde","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"214",214,213,436,"s","True",172,42,"True",91,"False",81,"False",23,"False",19,5,1.835407019,0.334684134,0.300794125,"muchos",7,"under","2_u2","senal","verde","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"215",215,214,637,"n","True",173,42,"False",91,"True",82,"False",23,"False",19,1,1.635301113,0.134347916,1.704206944,"muchos",8,"under","1","ruido","purpura","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"216",216,215,309,"n","True",174,42,"False",91,"True",83,"False",23,"False",19,2,2.437137842,0.93619895,0.501265049,"pocos",2,"under","1","ruido","guinda","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"217",217,216,86,"n","False",174,43,"False",91,"False",83,"False",23,"True",20,3,1.935652018,0.434769154,0.200639009,"pocos",2,"under","2_u2","senal","verde","4 AS",0,0,2,"0","0","0","0","0","0","1","0","1","0","1","0"
"218",218,217,96,"s","True",175,43,"True",92,"False",83,"False",23,"False",20,5,1.735525846,0.234619856,0.200428963,"pocos",2,"under","2_u2","senal","verde","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"219",219,218,46,"s","True",176,43,"True",93,"False",83,"False",23,"False",20,6,1.634864092,0.134082079,0.100303888,"pocos",3,"over","2_o3","senal","verde","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"220",220,219,223,"n","True",177,43,"False",93,"True",84,"False",23,"False",20,2,1.835567951,0.334638834,0.30092597,"pocos",2,"under","2.5","ruido","azul","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","1","0","1"
"221",221,220,67,"s","True",178,43,"True",94,"False",84,"False",23,"False",20,6,1.835263968,0.334331989,0.300668001,"pocos",3,"over","2_o3","senal","purpura","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"222",222,221,459,"n","False",178,44,"False",94,"False",84,"False",23,"True",21,3,2.036133051,0.535212994,0.200604916,"muchos",8,"under","2_u3","senal","guinda","3 BS",0,0,2,"0","0","0","0","0","0","1","0","1","0","1","0"
"223",223,222,487,"s","False",178,45,"False",94,"False",84,"True",24,"False",21,5,2.236629963,0.735671997,0.601587057,"muchos",7,"over","3","ruido","purpura","2 BN",1,0,1,"0","0","0","1","0","1","0","1","0","1","0","1"
"224",224,223,29,"s","True",179,45,"True",95,"False",84,"False",24,"False",21,4,1.835346937,0.334422112,0.200692892,"pocos",2,"over","2_o2","senal","guinda","4 AS",1,1,4,"0","0","0","0","1","0","1","0","1","0","1","0"
"225",225,224,388,"s","True",180,45,"True",96,"False",84,"False",24,"False",21,4,2.637810946,1.136842966,0.200561047,"muchos",8,"over","2_o3","senal","purpura","3 BS",1,1,4,"0","0","0","0","1","0","1","0","1","0","1","0"
"226",226,225,586,"n","True",181,45,"False",96,"True",85,"False",24,"False",21,1,1.634892941,0.133949995,1.303175926,"muchos",7,"under","1.5","ruido","verde","2 BN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"227",227,226,111,"s","True",182,45,"True",97,"False",85,"False",24,"False",21,6,2.236042976,0.735161066,0.200569153,"pocos",2,"under","2_u2","senal","naranja","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"228",228,227,179,"n","True",183,45,"False",97,"True",86,"False",24,"False",21,1,1.635715008,0.134701014,1.50532198,"pocos",3,"over","3","ruido","guinda","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
"229",229,228,140,"s","True",184,45,"True",98,"False",86,"False",24,"False",21,6,1.835419893,0.334517956,0.200608969,"pocos",3,"under","2_u3","senal","guinda","4 AS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"230",230,229,108,"s","True",185,45,"True",99,"False",86,"False",24,"False",21,4,5.043326855,3.542210102,0.200766087,"pocos",2,"under","2_u2","senal","purpura","4 AS",1,1,4,"0","0","0","0","1","0","1","0","1","0","1","0"
"231",231,230,40,"s","True",186,45,"True",100,"False",86,"False",24,"False",21,5,1.634773016,0.133614063,0.601481915,"pocos",2,"over","2_o2","senal","guinda","4 AS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"232",232,231,370,"s","True",187,45,"True",101,"False",86,"False",24,"False",21,6,1.634819031,0.133933783,1.503993988,"muchos",8,"over","2_o3","senal","guinda","3 BS",1,1,4,"1","0","1","0","1","0","1","0","1","0","1","0"
"233",233,232,330,"s","True",188,45,"True",102,"False",86,"False",24,"False",21,5,1.835223913,0.334121943,0.200580835,"muchos",7,"over","2_o2","senal","guinda","3 BS",1,1,4,"0","0","1","0","1","0","1","0","1","0","1","0"
"234",234,233,505,"n","True",189,45,"False",102,"True",87,"False",24,"False",21,3,2.236965179,0.735989094,0.300820112,"muchos",7,"under","3","ruido","verde","2 BN",0,1,3,"0","0","0","0","0","0","0","1","0","1","0","1"
"235",235,234,320,"n","True",190,45,"False",102,"True",88,"False",24,"False",21,1,2.136249065,0.635357141,0.200601101,"pocos",3,"under","1","ruido","guinda","1 AN",0,1,3,"0","0","0","0","0","0","0","0","0","0","0","1"
